index,Algorithm,F1,Recall,Precision,Accuracy,Stage
0,SVC,0.9166184212411072,0.9194722935367204,0.9328680585498365,0.9194722935367204,Training
1,KNN,0.988507329028226,0.9884972733916758,0.9886177012608836,0.9884972733916758,Training
2,DecisionTree,1.0,1.0,1.0,1.0,Training
3,RandomForest,1.0,1.0,1.0,1.0,Training
4,AdaBoost,1.0,1.0,1.0,1.0,Training
5,GradientBoosting,1.0,1.0,1.0,1.0,Training
6,ExtraTrees-ensemble,0.9668675409283422,0.9668583100650264,0.967023996628242,0.9668583100650264,Training
0,SVC,0.9327778035754516,0.931629392971246,0.946624120852455,0.931629392971246,Validation
1,KNN,0.9929690378822909,0.9929712460063898,0.9929716993274657,0.9929712460063898,Validation
2,DecisionTree,1.0,1.0,1.0,1.0,Validation
3,RandomForest,1.0,1.0,1.0,1.0,Validation
4,AdaBoost,1.0,1.0,1.0,1.0,Validation
5,GradientBoosting,1.0,1.0,1.0,1.0,Validation
6,ExtraTrees-ensemble,0.9745052071395274,0.97444089456869,0.9746895335976314,0.97444089456869,Validation
