description,siluetas,calinski,davies,entropy
"minibatch_kmeans_{'batch_size': 50, 'max_iter': 100, 'n_clusters': 3}",0.48096733056997387,15750.13697059455,0.6700508252725514,0.780067322479748
"minibatch_kmeans_{'batch_size': 50, 'max_iter': 100, 'n_clusters': 4}",0.43664698655304407,16023.145654203301,0.717950990206712,0.9718074896322206
"minibatch_kmeans_{'batch_size': 50, 'max_iter': 100, 'n_clusters': 5}",0.3975903808392627,16226.929210797221,0.8071830483159355,1.4857940194751909
"minibatch_kmeans_{'batch_size': 50, 'max_iter': 100, 'n_clusters': 8}",0.30579083276241453,12817.247038579844,1.0517886018837495,2.0661391854839404
"minibatch_kmeans_{'batch_size': 50, 'max_iter': 200, 'n_clusters': 3}",0.48096733056997387,15750.13697059455,0.6700508252725514,0.780067322479748
"minibatch_kmeans_{'batch_size': 50, 'max_iter': 200, 'n_clusters': 4}",0.43664698655304407,16023.145654203301,0.717950990206712,0.9718074896322206
"minibatch_kmeans_{'batch_size': 50, 'max_iter': 200, 'n_clusters': 5}",0.3975903808392627,16226.929210797221,0.8071830483159355,1.4857940194751909
"minibatch_kmeans_{'batch_size': 50, 'max_iter': 200, 'n_clusters': 8}",0.30579083276241453,12817.247038579844,1.0517886018837495,2.0661391854839404
"minibatch_kmeans_{'batch_size': 50, 'max_iter': 300, 'n_clusters': 3}",0.48096733056997387,15750.13697059455,0.6700508252725514,0.780067322479748
"minibatch_kmeans_{'batch_size': 50, 'max_iter': 300, 'n_clusters': 4}",0.43664698655304407,16023.145654203301,0.717950990206712,0.9718074896322206
"minibatch_kmeans_{'batch_size': 50, 'max_iter': 300, 'n_clusters': 5}",0.3975903808392627,16226.929210797221,0.8071830483159355,1.4857940194751909
"minibatch_kmeans_{'batch_size': 50, 'max_iter': 300, 'n_clusters': 8}",0.30579083276241453,12817.247038579844,1.0517886018837495,2.0661391854839404
"minibatch_kmeans_{'batch_size': 100, 'max_iter': 100, 'n_clusters': 3}",0.47614787319859414,15142.439764675342,0.6691240694881962,0.7729469316535251
"minibatch_kmeans_{'batch_size': 100, 'max_iter': 100, 'n_clusters': 4}",0.43664698655304407,16023.145654203296,0.7179509902067119,0.9718074896322207
"minibatch_kmeans_{'batch_size': 100, 'max_iter': 100, 'n_clusters': 5}",0.38663084398929154,16007.174389413,0.8126430028152744,1.5543784288136409
"minibatch_kmeans_{'batch_size': 100, 'max_iter': 100, 'n_clusters': 8}",0.30699977582972027,12869.861431256553,1.0401228212424662,2.069792854059257
"minibatch_kmeans_{'batch_size': 100, 'max_iter': 200, 'n_clusters': 3}",0.47614787319859414,15142.439764675342,0.6691240694881962,0.7729469316535251
"minibatch_kmeans_{'batch_size': 100, 'max_iter': 200, 'n_clusters': 4}",0.43664698655304407,16023.145654203296,0.7179509902067119,0.9718074896322207
"minibatch_kmeans_{'batch_size': 100, 'max_iter': 200, 'n_clusters': 5}",0.38663084398929154,16007.174389413,0.8126430028152744,1.5543784288136409
"minibatch_kmeans_{'batch_size': 100, 'max_iter': 200, 'n_clusters': 8}",0.30699977582972027,12869.861431256553,1.0401228212424662,2.069792854059257
"minibatch_kmeans_{'batch_size': 100, 'max_iter': 300, 'n_clusters': 3}",0.47614787319859414,15142.439764675342,0.6691240694881962,0.7729469316535251
"minibatch_kmeans_{'batch_size': 100, 'max_iter': 300, 'n_clusters': 4}",0.43664698655304407,16023.145654203296,0.7179509902067119,0.9718074896322207
"minibatch_kmeans_{'batch_size': 100, 'max_iter': 300, 'n_clusters': 5}",0.38663084398929154,16007.174389413,0.8126430028152744,1.5543784288136409
"minibatch_kmeans_{'batch_size': 100, 'max_iter': 300, 'n_clusters': 8}",0.30699977582972027,12869.861431256553,1.0401228212424662,2.069792854059257
"minibatch_kmeans_{'batch_size': 200, 'max_iter': 100, 'n_clusters': 3}",0.47858841678244957,15531.24236925172,0.6709821007304053,0.7784055035438269
"minibatch_kmeans_{'batch_size': 200, 'max_iter': 100, 'n_clusters': 4}",0.42767139523299147,16044.87725528381,0.7503990960790443,1.3307263599280799
"minibatch_kmeans_{'batch_size': 200, 'max_iter': 100, 'n_clusters': 5}",0.3979559753032219,16067.378450765242,0.7939811594201768,1.4775587653265212
"minibatch_kmeans_{'batch_size': 200, 'max_iter': 100, 'n_clusters': 8}",0.27052964812282293,12800.705583551313,1.14399569587246,2.156699501615344
"minibatch_kmeans_{'batch_size': 200, 'max_iter': 200, 'n_clusters': 3}",0.47858841678244957,15531.24236925172,0.6709821007304053,0.7784055035438269
"minibatch_kmeans_{'batch_size': 200, 'max_iter': 200, 'n_clusters': 4}",0.42767139523299147,16044.87725528381,0.7503990960790443,1.3307263599280799
"minibatch_kmeans_{'batch_size': 200, 'max_iter': 200, 'n_clusters': 5}",0.3979559753032219,16067.378450765242,0.7939811594201768,1.4775587653265212
"minibatch_kmeans_{'batch_size': 200, 'max_iter': 200, 'n_clusters': 8}",0.27052964812282293,12800.705583551313,1.14399569587246,2.156699501615344
"minibatch_kmeans_{'batch_size': 200, 'max_iter': 300, 'n_clusters': 3}",0.47858841678244957,15531.24236925172,0.6709821007304053,0.7784055035438269
"minibatch_kmeans_{'batch_size': 200, 'max_iter': 300, 'n_clusters': 4}",0.42767139523299147,16044.87725528381,0.7503990960790443,1.3307263599280799
"minibatch_kmeans_{'batch_size': 200, 'max_iter': 300, 'n_clusters': 5}",0.3979559753032219,16067.378450765242,0.7939811594201768,1.4775587653265212
"minibatch_kmeans_{'batch_size': 200, 'max_iter': 300, 'n_clusters': 8}",0.27052964812282293,12800.705583551313,1.14399569587246,2.156699501615344
