index,Algorithm,MSE,MAE,R2,Stage
0,LinearRegression,-0.2774947375476852,-0.4474333175387704,0.2621411666474094,Training
1,ElasticNet,-0.3095970018955142,-0.4717676071469392,0.1769382407699642,Training
2,DecisionTree,-0.464601606836846,-0.548016825050631,-0.2360020315999661,Training
3,RandomForest,-0.2347664762557585,-0.4042154229630784,0.3754348130784483,Training
4,GradientBoosting,-0.2427994644895357,-0.4166636722733811,0.3542875605716064,Training
5,SVR,-0.2854736298588621,-0.4547398154462501,0.2410724083841727,Training
0,LinearRegression,0.2900980040498216,0.4622611999944166,0.2656301329203698,Validation
1,ElasticNet,0.3251943646828062,0.4883288621532478,0.1767852965781063,Validation
2,DecisionTree,0.4331068989141943,0.5148524923702951,-0.0963903623834092,Validation
3,RandomForest,0.238275546120788,0.4107122511262897,0.3968163217593258,Validation
4,GradientBoosting,0.2492804941743822,0.4270643835707941,0.3689577976519066,Validation
5,SVR,0.2952978510398092,0.4673404952497595,0.2524669574087735,Validation
